title,company,location,salary,skills,date_posted,url,source
SAP Solution Architect (m/f/d) [Full-time / part-time] - Tieto Tech Consulting,These Germany GmbH,"Regensburg, Linz, Graz, Berlin, Vienna",,,4 days ago,https://www.stepstone.de/stellenangebote--SAP-Solution-Architect-m-f-d-Full-time-part-time-Tieto-Tech-Consulting-Regensburg-Linz-Graz-Berlin-Wien-Tieto-Germany-GmbH--13961206-inline.html,StepStone
Service Owner – Präqualifikations-Portal (w/m/d),50Hertz Transmission GmbH,Berlin,,,4 days ago,https://www.stepstone.de/stellenangebote--Service-Owner-Praequalifikations-Portal-w-m-d-Berlin-50Hertz-Transmission-GmbH--13962997-inline.html,StepStone
SAP E-Invoice consultant,NTT DATA Business Solutions AG,Berlin,,,1 week ago,https://www.stepstone.de/stellenangebote--SAP-E-Invoice-Berater-in-Berlin-NTT-DATA-Business-Solutions-AG--13673131-inline.html,StepStone
SAP consultant - SAP HCM / SAP SuccessFactors with a focus on payroll,NTT DATA Business Solutions AG,Berlin,,,1 week ago,https://www.stepstone.de/stellenangebote--SAP-Berater-in-SAP-HCM-SAP-SuccessFactors-mit-Schwerpunkt-Payroll-Berlin-NTT-DATA-Business-Solutions-AG--13673147-inline.html,StepStone
(Senior) SAP Berater:in HCM - SAP SuccessFactors,NTT DATA Business Solutions AG,Berlin,,,1 week ago,https://www.stepstone.de/stellenangebote--Senior-SAP-Berater-in-HCM-SAP-SuccessFactors-Berlin-NTT-DATA-Business-Solutions-AG--13673128-inline.html,StepStone
Senior SAP Consultant: Global Trade Services (GTS),NTT DATA Business Solutions AG,Berlin,,,1 week ago,https://www.stepstone.de/stellenangebote--Senior-SAP-Berater-in-Global-Trade-Services-GTS-Berlin-NTT-DATA-Business-Solutions-AG--13673136-inline.html,StepStone
Senior SAP Consultant: Global Trade Services (GTS),NTT DATA Business Solutions AG,"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Cologne, Munich, Pforzheim, Stuttgart",,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-SAP-Berater-in-Global-Trade-Services-GTS-Berlin-Bielefeld-Dortmund-Goettingen-Hamburg-Heidelberg-Koeln-Muenchen-Pforzheim-Stuttgart-NTT-DATA-Business-Solutions-AG--13456133-inline.html,StepStone
DevOps Engineer Public Sector (all genders),msg systems ag,"Berlin, Chemnitz, Dresden, Düsseldorf, Essen, Frankfurt am Main, Hamburg, Hanover",,,1 day ago,https://www.stepstone.de/stellenangebote--DevOps-Engineer-Public-Sector-all-genders-Berlin-Chemnitz-Dresden-Duesseldorf-Essen-Frankfurt-am-Main-Hamburg-Hannover-msg-systems-ag--13791760-inline.html,StepStone
Performance Marketing Manager (Automation Focus) (f/m/d),PiNCAMP GmbH,Berlin,,,1 day ago,https://www.stepstone.de/stellenangebote--Performance-Marketing-Manager-Automation-Focus-f-m-d-Berlin-PiNCAMP-GmbH--13922603-inline.html,StepStone
IT security project manager (d/m/f) - technical customer support,genoa GmbH,"Kirchheim near Munich, Berlin, Leipzig, Cologne, Stuttgart",,,1 day ago,https://www.stepstone.de/stellenangebote--IT-Security-Projektmanager-d-m-w-Technische-Kundenbetreuung-Kirchheim-bei-Muenchen-Berlin-Leipzig-Koeln-Stuttgart-genua-GmbH--13922343-inline.html,StepStone
IT project manager for digital transformation in the public sector (m/f/d),mgm consulting partners GmbH,"Berlin, Hamburg, Cologne, Munich North",85 K,,4 days ago,https://www.stepstone.de/stellenangebote--IT-Projektleiter-fuer-Digitale-Transformation-im-Public-Sektor-m-w-d-Berlin-Hamburg-Koeln-Muenchen-Nord-mgm-consulting-partners-GmbH--14017214-inline.html,StepStone
"Head of Business Administration, IT and Industrial Engineering - AEMP",Vivantes Service GmbH,Berlin,,,4 days ago,https://www.stepstone.de/stellenangebote--Leitung-Betriebswirtschaft-IT-und-Betriebstechnik-AEMP-Berlin-Vivantes-Service-GmbH--13957825-inline.html,StepStone
Fullstack software engineer .NET/C# web application healthcare (m/f/d),Meierhofer AG,"Berlin, Munich, Leipzig, Hanover, Passau",,,4 days ago,https://www.stepstone.de/stellenangebote--Fullstack-Softwareengineer-NET-C-Webanwendung-Healthcare-m-w-d-Berlin-Muenchen-Leipzig-Hannover-Passau-Meierhofer-AG--14016410-inline.html,StepStone
System administrator / system developer Integration and development MuleSoft Anypoint Platform full-time or part-time at least 32 hours/week m/f/d,naturstrom AG,"Düsseldorf, Berlin, Hannover",,,4 days ago,https://www.stepstone.de/stellenangebote--Systemadministrator-in-Systementwickler-in-Integration-und-Entwicklung-MuleSoft-Anypoint-Platform-in-Vollzeit-oder-Teilzeit-min-32-Std-Woche-m-w-d-Duesseldorf-Berlin-Hannover-naturstrom-AG--14017634-inline.html,StepStone
Employee (m/f/d) CNC manufacturing & programming,meinestadt.de,Berlin,,,1 day ago,https://www.stepstone.de/stellenangebote--Mitarbeiter-m-w-d-CNC-Fertigung-Programmierung-Berlin-meinestadt-de--13852236-inline.html,StepStone
Service Engineer IT Experten (m/w/d),CANCOM SE,Berlin,,,1 day ago,https://www.stepstone.de/stellenangebote--Service-Engineer-IT-Experten-m-w-d-Berlin-CANCOM-SE--13915754-inline.html,StepStone
(Senior) IT-Consultant Loga3 Zeitwirtschaft (w/m/d),Peras GmbH,"Karlsruhe, Frankfurt am Main, Cologne, Münster, Erfurt, Berlin, home office",,,5 days ago,https://www.stepstone.de/stellenangebote--Senior-IT-Consultant-Loga3-Zeitwirtschaft-w-m-d-Karlsruhe-Frankfurt-am-Main-Koeln-Muenster-Erfurt-Berlin-Home-Office-Peras-GmbH--13958682-inline.html,StepStone
Senior Systemadministrator (m/w/d),ENERGY SE,Berlin,,,5 days ago,https://www.stepstone.de/stellenangebote--Senior-Systemadministrator-m-w-d-Berlin-ENERTRAG-SE--14017442-inline.html,StepStone
Database administrator: Oracle in the field of renewable energies full-time and part-time at least 32 hours/week m/f/d,naturstrom AG,"Düsseldorf, Berlin, Hannover",,,5 days ago,https://www.stepstone.de/stellenangebote--Datenbankadministrator-in-Oracle-im-Bereich-erneuerbare-Energien-in-Vollzeit-und-Teilzeit-min-32-Std-Woche-m-w-d-Duesseldorf-Berlin-Hannover-naturstrom-AG--14017677-inline.html,StepStone
Technical Customer Success Manager – Workload Automation ANOW! Suite (m/w/d),BETA Systems Software AG,Berlin,,,5 days ago,https://www.stepstone.de/stellenangebote--Technical-Customer-Success-Manager-Workload-Automation-ANOW-Suite-m-w-d-Berlin-BETA-Systems-Software-AG--13958854-inline.html,StepStone
"Product Owner / Technical Consultant (m/w/d) – Konstanz, Berlin oder remote",SEITENBAU GmbH,"Konstanz, Berlin, home office",,,5 days ago,https://www.stepstone.de/stellenangebote--Product-Owner-Technical-Consultant-m-w-d-Konstanz-Berlin-oder-remote-Konstanz-Berlin-Home-Office-SEITENBAU-GmbH--14017007-inline.html,StepStone
Senior IT Consultant & Project Manager Digitalization Public Sector (m/f/d),mgm consulting partners GmbH,"Berlin, Hamburg, Cologne, Munich North",,,5 days ago,https://www.stepstone.de/stellenangebote--Senior-IT-Berater-Projektmanager-Digitalisierung-Public-Sektor-m-w-d-Berlin-Hamburg-Koeln-Muenchen-Nord-mgm-consulting-partners-GmbH--14017215-inline.html,StepStone
Test Automation Engineer (all genders),msg systems ag,"Berlin, Braunschweig, Chemnitz, Frankfurt am Main, Görlitz, Hamburg, Hanover, Ismaning near Munich",,,1 day ago,https://www.stepstone.de/stellenangebote--Test-Automation-Engineer-all-genders-Berlin-Braunschweig-Chemnitz-Frankfurt-am-Main-Goerlitz-Hamburg-Hannover-Ismaning-bei-Muenchen-msg-systems-ag--13789925-inline.html,StepStone
Tax digitalization and AI manager (m/f/d) in tax consulting,CURACON GmbH auditing company,"Berlin, Darmstadt, Freiburg, Hamburg, Hanover, Cologne, Leipzig, Munich, Münster, Nuremberg, Ratingen,",,,1 day ago,https://www.stepstone.de/stellenangebote--Tax-Digitalisierungs-und-KI-Manager-m-w-d-in-der-Steuerberatung-Berlin-Darmstadt-Freiburg-Hamburg-Hannover-Koeln-Leipzig-Muenchen-Muenster-Nuernberg-Ratingen-CURACON-GmbH-Wirtschaftspruefungsgesellschaft--13451156-inline.html,StepStone
Operations Manager (m/f/d) - with an IT background,Eseebase GmbH,Berlin,,,1 day ago,https://www.stepstone.de/stellenangebote--Operations-Manager-m-w-d-mit-IT-Hintergrund-Berlin-Eseebase-GmbH--13911674-inline.html,StepStone
(Junior) Consultant IT-Sicherheit (w/m/d),KPMG AG auditing company,"Berlin, Hamburg, Hanover, Leipzig, Dresden",,,1 day ago,https://www.stepstone.de/stellenangebote--Junior-Consultant-IT-Sicherheit-w-m-d-Berlin-Hamburg-Hannover-Leipzig-Dresden-KPMG-AG-Wirtschaftspruefungsgesellschaft--13341332-inline.html,StepStone
Senior Consultant SAP PP (m/w/d),Above Steria,"nationwide, Berlin, Frankfurt, Hamburg, Cologne, Leipzig, Munich",,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-Consultant-SAP-PP-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--13453154-inline.html,StepStone
ServiceNow Developer (m/w/d),Nagel-Group Logistics SE,"Munich, Berlin, Frankfurt am Main, Leipzig, Dresden, Cologne, Düsseldorf, Hanover, Hamburg, Bremen",,,5 days ago,https://www.stepstone.de/stellenangebote--ServiceNow-Developer-m-w-d-Muenchen-Berlin-Frankfurt-am-Main-Leipzig-Dresden-Koeln-Duesseldorf-Hannover-Hamburg-Bremen-Nagel-Group-Logistics-SE--14009572-inline.html,StepStone
Senior Project/Program Manager - IT & Digitalisation (m/w/d),Above Steria,"nationwide, Berlin, Frankfurt, Hamburg, Cologne, Leipzig, Munich",,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-Project-Program-Manager-IT-Digitalisation-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--12909467-inline.html,StepStone
Senior Consultant SAP EWM Aerospace (m/w/d),Above Steria,"nationwide, Berlin, Frankfurt, Hamburg, Cologne, Leipzig, Munich",,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-Consultant-SAP-EWM-Aerospace-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--13453153-inline.html,StepStone
IT-PMO & IT-Projektmanagement – Consultant / Senior Consultant (m/w/d),mgm consulting partners GmbH,"Berlin, Hamburg, Cologne, Munich",,,2 days ago,https://www.stepstone.de/stellenangebote--IT-PMO-IT-Projektmanagement-Consultant-Senior-Consultant-m-w-d-Berlin-Hamburg-Koeln-Muenchen-mgm-consulting-partners-GmbH--13979116-inline.html,StepStone
IT-PMO & IT-Projektmanagement – Junior Consultant (m/w/d),mgm consulting partners GmbH,"Berlin, Hamburg, Cologne, Munich North",,,2 days ago,https://www.stepstone.de/stellenangebote--IT-PMO-IT-Projektmanagement-Junior-Consultant-m-w-d-Berlin-Hamburg-Koeln-Muenchen-Nord-mgm-consulting-partners-GmbH--13979117-inline.html,StepStone
Product Manager - Data Governance & Analytics Engineering,N26 GmbH,Berlin,,,2 days ago,https://www.stepstone.de/stellenangebote--Product-Manager-Data-Governance-Analytics-Engineering-Berlin-N26-GmbH--13974301-inline.html,StepStone
Project Manager (f/m/d) Lean Construction Management - Infrastructure,Drees & Sommer SE,"Stuttgart, Munich, Frankfurt am Main, Cologne, Leipzig, Berlin, Hamburg",,,6 days ago,https://www.stepstone.de/stellenangebote--Projektleiter-w-m-d-Lean-Construction-Management-Infrastructure-Stuttgart-Muenchen-Frankfurt-am-Main-Koeln-Leipzig-Berlin-Hamburg-Drees-Sommer-SE--13673962-inline.html,StepStone
IT-Administrator (w/m/d),VGV Verwaltungsgesellschaft für Rentenwerke mbH,Berlin,,,2 days ago,https://www.stepstone.de/stellenangebote--IT-Administrator-w-m-d-Berlin-VGV-Verwaltungsgesellschaft-fuer-Versorgungswerke-mbH--13536592-inline.html,StepStone
IT Testmanager (all genders),msg systems ag,"Berlin, Braunschweig, Chemnitz, Frankfurt am Main, Görlitz, Hamburg, Hanover, Ismaning near Munich",,,2 days ago,https://www.stepstone.de/stellenangebote--IT-Testmanager-all-genders-Berlin-Braunschweig-Chemnitz-Frankfurt-am-Main-Goerlitz-Hamburg-Hannover-Ismaning-bei-Muenchen-msg-systems-ag--13789924-inline.html,StepStone
Global Head of Quality Systems (m/f/d),CHEPLAPHARM Arzneimittel GmbH,"Berlin, Binningen, Greifswald",,,6 days ago,https://www.stepstone.de/stellenangebote--Global-Head-of-Quality-Systems-m-f-d-Berlin-Binningen-Greifswald-CHEPLAPHARM-Arzneimittel-GmbH--14007798-inline.html,StepStone
(Senior) DevOps Engineer (f/m/d) for Sovereign Cloud,SAP SE,"Berlin, DE, 10557",,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-DevOps-Engineer-f-m-d-for-Sovereign-Cloud-Berlin-DE-10557-SAP-SE--14026346-inline.html,StepStone
Programm Management & IT Transformation - Management Consultant (m/w/d),mgm consulting partners GmbH,"Berlin, Hamburg, Cologne, Munich",,,2 days ago,https://www.stepstone.de/stellenangebote--Programm-Management-IT-Transformation-Management-Consultant-m-w-d-Berlin-Hamburg-Koeln-Muenchen-mgm-consulting-partners-GmbH--13979114-inline.html,StepStone
Auditor Information Security (m/f/d),operational services GmbH & Co. KG,"Frankfurt am Main, Berlin, Dresden, Hamburg, Leinfelden-Echterdingen, Munich, Nuremberg, Wolfsburg",,,2 days ago,https://www.stepstone.de/stellenangebote--Auditor-Informationssicherheit-m-w-d-Frankfurt-am-Main-Berlin-Dresden-Hamburg-Leinfelden-Echterdingen-Muenchen-Nuernberg-Wolfsburg-operational-services-GmbH-Co-KG--13842437-inline.html,StepStone
