title,company,location,remote,skills,date_posted,url,source
Senior IT Architect SAP/ERP Platforms (m/f/d),BWI GmbH,"Berlin, Bonn, Frankfurt, Strausberg, Wilhelmshaven",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-Architekt-SAP-ERP-Plattformen-m-w-d-Berlin-Bonn-Frankfurt-Strausberg-Wilhelmshaven-BWI-GmbH--13996823-inline.html,StepStone
Senior IT Expert Plattform Automation - Crossplane (m/w/d),BWI GmbH,"Berlin, Frankfurt, Hamburg, Hanover, Munich, Nuremberg, Ulm, Bonn, Leipzig",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-Expert-Plattform-Automation-Crossplane-m-w-d-Berlin-Frankfurt-Hamburg-Hannover-Muenchen-Nuernberg-Ulm-Bonn-Leipzig-BWI-GmbH--13996905-inline.html,StepStone
Solution Architect DevSecOps Healthcare (m/w/d),BWI GmbH,"nationwide, Frankfurt, Hamburg, Munich, Nuremberg, Ulm, Berlin, Bonn, Leipzig",True,,1 day ago,https://www.stepstone.de/stellenangebote--Solution-Architect-DevSecOps-Healthcare-m-w-d-bundesweit-Frankfurt-Hamburg-Muenchen-Nuernberg-Ulm-Berlin-Bonn-Leipzig-BWI-GmbH--13997052-inline.html,StepStone
Information Security Officer (m/w/d),Mercedes-Benz Automotive Mobility GmbH,Berlin,True,,1 day ago,https://www.stepstone.de/stellenangebote--Information-Security-Officer-m-w-d-Berlin-Mercedes-Benz-Automotive-Mobility-GmbH--14055516-inline.html,StepStone
IT-Risk & Governance Officer (m/w/d),LBBW Landesbank Baden-Württemberg,Berlin,True,,1 day ago,https://www.stepstone.de/stellenangebote--IT-Risk-Governance-Officer-m-w-d-Berlin-LBBW-Landesbank-Baden-Wuerttemberg--14052861-inline.html,StepStone
IT-Architekt ERP und Cloud Solutions (m/w/d),BWI GmbH,"nationwide, Frankfurt, Hamburg, Munich, Nuremberg, Ulm, Berlin, Bonn, Leipzig",True,,1 day ago,https://www.stepstone.de/stellenangebote--IT-Architekt-ERP-und-Cloud-Solutions-m-w-d-bundesweit-Frankfurt-Hamburg-Muenchen-Nuernberg-Ulm-Berlin-Bonn-Leipzig-BWI-GmbH--13997066-inline.html,StepStone
Data Protection Officer (f/m/d),Gewobag Wohnungsbau-Aktiengesellschaft Berlin,Berlin,True,,1 day ago,https://www.stepstone.de/stellenangebote--Referent-Datenschutz-w-m-d-Berlin-Gewobag-Wohnungsbau-Aktiengesellschaft-Berlin--13996420-inline.html,StepStone
Senior IT architect ERP and cloud solutions (m/f/d),BWI GmbH,"Frankfurt, Hamburg, Munich, Nuremberg, Ulm, Berlin, Bonn, Leipzig",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-Architekt-ERP-und-Cloud-Loesungen-m-w-d-Frankfurt-Hamburg-Muenchen-Nuernberg-Ulm-Berlin-Bonn-Leipzig-BWI-GmbH--13996827-inline.html,StepStone
Senior IT-Risk & Governance Officer (m/w/d),LBBW Landesbank Baden-Württemberg,Berlin,True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-Risk-Governance-Officer-m-w-d-Berlin-LBBW-Landesbank-Baden-Wuerttemberg--14052860-inline.html,StepStone
Senior IT-Administrator – Compute & Storage (w/m/d),50Hertz Transmission GmbH,Berlin,True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-Administrator-Compute-Storage-w-m-d-Berlin-50Hertz-Transmission-GmbH--14052185-inline.html,StepStone
System Engineer / Architect Automation (f/m/d),50Hertz Transmission GmbH,"Berlin, Neuenhagen near Berlin",True,,1 day ago,https://www.stepstone.de/stellenangebote--System-Engineer-Architect-Automatisierung-w-m-d-Berlin-Neuenhagen-bei-Berlin-50Hertz-Transmission-GmbH--14052612-inline.html,StepStone
(Senior) Manager ERP Tax Spezialist (all genders),Forvis Mazars GmbH & Co. KG,"Berlin, Dresden, Düsseldorf, Frankfurt am Main, Hamburg, Cologne, Leipzig, Munich, Nuremberg, Stuttgart",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-Manager-ERP-Tax-Spezialist-all-genders-Berlin-Dresden-Duesseldorf-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Nuernberg-Stuttgart-Forvis-Mazars-GmbH-Co-KG--14053202-inline.html,StepStone
(Senior) Administrator Nutanix (m/w/d),operational services GmbH & Co. KG,"Frankfurt am Main, Berlin, Dresden, Hamburg, Leinfelden-Echterdingen, Munich, Nuremberg",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-Administrator-Nutanix-m-w-d-Frankfurt-am-Main-Berlin-Dresden-Hamburg-Leinfelden-Echterdingen-Muenchen-Nuernberg-operational-services-GmbH-Co-KG--13732035-inline.html,StepStone
(Senior) Cloud & Network Engineer (m/w/d),IABG Industrieanlagen - Betriebsgesellschaft mbH,"Ottobrunn near Munich, Berlin, Bonn",True,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-Cloud-Network-Engineer-m-w-d-Ottobrunn-bei-Muenchen-Berlin-Bonn-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--14050365-inline.html,StepStone
QA Automation Engineer (gn),OPTIMAL SYSTEMS GmbH,Berlin,True,,2 days ago,https://www.stepstone.de/stellenangebote--QA-Automation-Engineer-gn-Berlin-OPTIMAL-SYSTEMS-GmbH--14050335-inline.html,StepStone
(Senior) Software Architekt Digitale Transformation - Open Source & Cloud Security (m/w/d),IABG Industrieanlagen - Betriebsgesellschaft mbH,"Ottobrunn near Munich, Berlin, Bonn",True,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-Software-Architekt-Digitale-Transformation-Open-Source-Cloud-Security-m-w-d-Ottobrunn-bei-Muenchen-Berlin-Bonn-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--14050305-inline.html,StepStone
Systems Engineer in Central Event Management (m/f/d),BWI GmbH,"Munich, Berlin, Bonn, Neubrandenburg, Schwielowsee",False,,2 days ago,https://www.stepstone.de/stellenangebote--Systems-Engineer-im-zentralen-Eventmanagement-m-w-d-Muenchen-Berlin-Bonn-Neubrandenburg-Schwielowsee-BWI-GmbH--13992897-inline.html,StepStone
Trainer & expert consultant software solution AEMP – System & Application Specialist (f/m/d),Invitec GmbH & Co. KG,"Essen, Berlin, Hamburg, Hanover",True,,2 days ago,https://www.stepstone.de/stellenangebote--Trainer-Fachberater-Softwareloesung-AEMP-System-Application-Specialist-w-m-d-Essen-Berlin-Hamburg-Hannover-Invitec-GmbH-Co-KG--13991555-inline.html,StepStone
Professional IT Service Desk (m/w/d),Rheinmetall IT Solutions GmbH,"Düsseldorf, Berlin, Bremen, Kassel, Kiel, Unterlüß, Neuenstadt",True,,2 days ago,https://www.stepstone.de/stellenangebote--Professional-IT-Service-Desk-m-w-d-Duesseldorf-Berlin-Bremen-Kassel-Kiel-Unterluess-Neuenstadt-Rheinmetall-IT-Solutions-GmbH--14049056-inline.html,StepStone
IT Architect / Solution Architect - Cloud & Hybrid (w|m|d),BridgingIT GmbH,"Frankfurt a.M., Berlin, Hamburg, Köln, Mannheim, München, Nürnberg, Stuttgart",True,,2 days ago,https://www.stepstone.de/stellenangebote--IT-Architect-Solution-Architect-Cloud-Hybrid-wmd-Frankfurt-a-M-Berlin-Hamburg-Koeln-Mannheim-Muenchen-Nuernberg-Stuttgart-BridgingIT-GmbH--14046031-inline.html,StepStone
(Senior) Software Developer / Architect (w|m|d),BridgingIT GmbH,"Frankfurt a.M., Berlin, Hamburg, Cologne, Magdeburg, Mannheim, Munich, Stuttgart",True,,2 days ago,https://www.stepstone.de/stellenangebote--Senior-Software-Developer-Architect-wmd-Frankfurt-a-M-Berlin-Hamburg-Koeln-Magdeburg-Mannheim-Muenchen-Stuttgart-BridgingIT-GmbH--14046045-inline.html,StepStone
(Senior Consultant) SAP GTS (m/w/d),cbs Corporate Business Solutions Unternehmensberatung GmbH,"Berlin, Dortmund, Düsseldorf, Frankfurt, Freiburg, Hamburg, Heidelberg, Leipzig, Munich, Raunheim, Stuttgart",True,,3 days ago,https://www.stepstone.de/stellenangebote--Senior-Consultant-SAP-GTS-m-w-d-Berlin-Dortmund-Duesseldorf-Frankfurt-Freiburg-Hamburg-Heidelberg-Leipzig-Muenchen-Raunheim-Stuttgart-cbs-Corporate-Business-Solutions-Unternehmensberatung-GmbH--13587925-inline.html,StepStone
(Senior) Consultant (m/w/d) SAP Treasury & Risk Management,cbs Corporate Business Solutions Unternehmensberatung GmbH,"Heidelberg, Munich, Berlin, Düsseldorf, Dortmund, Hamburg, Stuttgart, Frankfurt, Freiburg, Leipzig, Raunheim",True,,3 days ago,https://www.stepstone.de/stellenangebote--Senior-Consultant-m-w-d-SAP-Treasury-Risk-Management-Heidelberg-Muenchen-Berlin-Duesseldorf-Dortmund-Hamburg-Stuttgart-Frankfurt-Freiburg-Leipzig-Raunheim-cbs-Corporate-Business-Solutions-Unternehmensberatung-GmbH--13675567-inline.html,StepStone
Project Manager (m/f/d) SAP S/4HANA Transformation Advisory,cbs Corporate Business Solutions Unternehmensberatung GmbH,"Heidelberg, Düsseldorf, Munich, Dortmund, Freiburg, Leipzig, Raunheim, Berlin, Hamburg, Stuttgart, Frankfurt",True,,3 days ago,https://www.stepstone.de/stellenangebote--Projektleiter-m-w-d-SAP-S-4HANA-Transformation-Advisory-Heidelberg-Duesseldorf-Muenchen-Dortmund-Freiburg-Leipzig-Raunheim-Berlin-Hamburg-Stuttgart-Frankfurt-cbs-Corporate-Business-Solutions-Unternehmensberatung-GmbH--13741606-inline.html,StepStone
"IT system administrator / IT generalist (m/f/d)[KS1] [PE2] 
full time",German Institution for Arbitration V. (DIS),"Bonn, Berlin",True,,2 hours ago,https://www.stepstone.de/stellenangebote--IT-Systemadministrator-IT-Generalist-m-w-dKS1-PE2-in-Vollzeit-Bonn-Berlin-Deutsche-Institution-fuer-Schiedsgerichtsbarkeit-e-V-DIS--13999815-inline.html,StepStone
Senior Consultant SAP S/4HANA Utilities - Energiedatenmanagement (w/m/d),Capgemini Deutschland GmbH,"Berlin, Dortmund, Düsseldorf, Frankfurt, Hamburg, Hanover, Cologne, Munich, Nuremberg, Stuttgart",True,,2 hours ago,https://www.stepstone.de/stellenangebote--Senior-Consultant-SAP-S-4HANA-Utilities-Energiedatenmanagement-w-m-d-Berlin-Dortmund-Duesseldorf-Frankfurt-Hamburg-Hannover-Koeln-Muenchen-Nuernberg-Stuttgart-Capgemini-Deutschland-GmbH--14000655-inline.html,StepStone
Application Owner SharePoint (m/w/d),BWI GmbH,"Munich, Frankfurt, Hamburg, Nuremberg, Ulm, Berlin, Bonn, Leipzig",True,,3 hours ago,https://www.stepstone.de/stellenangebote--Application-Owner-SharePoint-m-w-d-Muenchen-Frankfurt-Hamburg-Nuernberg-Ulm-Berlin-Bonn-Leipzig-BWI-GmbH--14001126-inline.html,StepStone
IT-Administrator (m/w/d),Oberhavel Kliniken GmbH,"Oranienburg, Hennigsdorf bei Berlin",True,,4 hours ago,https://www.stepstone.de/stellenangebote--IT-Administrator-m-w-d-Oranienburg-Hennigsdorf-bei-Berlin-Oberhavel-Kliniken-GmbH--13998809-inline.html,StepStone
"Engineer R&D – automation, production technology & AI",VDI Technology Center GmbH,"Düsseldorf, Berlin",True,,4 hours ago,https://www.stepstone.de/stellenangebote--Ingenieurin-FE-Automatisierung-Produktionstechnik-KI-Duesseldorf-Berlin-VDI-Technologiezentrum-GmbH--14000621-inline.html,StepStone
SAP Senior Developer (m/w/d),Above Steria,"nationwide, Berlin, Frankfurt, Hamburg, Cologne, Leipzig, Munich",True,,6 hours ago,https://www.stepstone.de/stellenangebote--SAP-Senior-Developer-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--13811447-inline.html,StepStone
Berater Product - Cyber Security (w/m/d),EY Germany,"Berlin, Düsseldorf, Frankfurt/Main, Hamburg, Hannover, Freiburg, Stuttgart, Dortmund, Nürnberg",True,,7 hours ago,https://www.stepstone.de/stellenangebote--Berater-Product-Cyber-Security-w-m-d-Berlin-Duesseldorf-Frankfurt-Main-Hamburg-Hannover-Freiburg-Stuttgart-Dortmund-Nuernberg-EY-Deutschland--13940964-inline.html,StepStone
SAP Cloud Architekt (m/w/d),Dataciders GmbH,"Hamburg, Berlin",True,,7 hours ago,https://www.stepstone.de/stellenangebote--SAP-Cloud-Architekt-m-w-d-Hamburg-Berlin-Dataciders-GmbH--13999333-inline.html,StepStone
DevOps IT-Administrator (m/w/d),Digital Vital Innovation GmbH,Berlin,True,,8 hours ago,https://www.stepstone.de/stellenangebote--DevOps-IT-Administrator-m-w-d-Berlin-Digital-Vital-Innovation-GmbH--13560816-inline.html,StepStone
Technical Security Officer (w/m/d),IT Service Center Berlin (ITDZ Berlin),Berlin,True,,"IT Service Center Berlin (ITDZ Berlin) * Berlin * Permanent position * Home office possible, full-time - Are you looking for exciting work with a positive social impact? Let's work together to create the basis for a modern and sustainable Berlin administration and advance digitalization - become part of our team! (Pay group 14 EntTV ITDZ Berlin / TV-L Berlin / 3. ÄTV ITDZ Berlin) The infrastructure operations department ensures the reliable operation of our data centers and ensures the support of basic ICT services, operating systems and standardized specialist procedures. In your future “Coordination and Controlling” department, 14 experts will manage complex projects within our department and support our colleagues, among other things, in important tasks related to IT baseline protection and emergency coordination.",https://www.stepstone.de/stellenangebote--Technical-Security-Officer-w-m-d-Berlin-IT-Dienstleistungszentrum-Berlin-ITDZ-Berlin--13991870-inline.html,StepStone
Training IT specialist system integration (m/f/d),conet Holding GmbH,"Bonn, Berlin",False,,8 hours ago,https://www.stepstone.de/stellenangebote--Ausbildung-Fachinformatiker-Systemintegration-m-w-d-Bonn-Berlin-conet-Holding-GmbH--14000699-inline.html,StepStone
Dual study program Bachelor of Science (B.Sc.) - Business Informatics 2026,German Federal Pension Insurance,Berlin,False,,9 hours ago,https://www.stepstone.de/stellenangebote--Duales-Studium-Bachelor-of-Science-B-Sc-Wirtschaftsinformatik-2026-Berlin-Deutsche-Rentenversicherung-Bund--12938162-inline.html,StepStone
Dual study program Bachelor of Science (B.Sc) - Computer Science 2026,German Federal Pension Insurance,Berlin,False,,9 hours ago,https://www.stepstone.de/stellenangebote--Duales-Studium-Bachelor-of-Science-B-Sc-Informatik-2026-Berlin-Deutsche-Rentenversicherung-Bund--12938099-inline.html,StepStone
Training as an IT specialist in 2026,German Federal Pension Insurance,"Berlin, Würzburg",False,,9 hours ago,https://www.stepstone.de/stellenangebote--Ausbildung-Fachinformatikerin-2026-Berlin-Wuerzburg-Deutsche-Rentenversicherung-Bund--12938326-inline.html,StepStone
"Agile Coach (m/f/d) - Konstanz, Berlin or remotely",SEITENBAU GmbH,"Konstanz, Berlin",True,,10 hours ago,https://www.stepstone.de/stellenangebote--Agile-Coach-m-w-d-Konstanz-Berlin-oder-remote-Konstanz-Berlin-SEITENBAU-GmbH--13998648-inline.html,StepStone
